Cor/Raça;Região e Localização do Domicílio;Ano;Sexo;Rendimento Médio Mensal no Trabalho Principal
Branca;Urbano;2009;Feminino;1.546,1
Branca;Rural;2009;Feminino;437,7
Negra;Urbano;2009;Feminino;919,8
Negra;Rural;2009;Feminino;271,7
Branca;Urbano;2011;Feminino;1.725,3
Branca;Rural;2011;Feminino;479,8
Negra;Urbano;2011;Feminino;1.055,3
Negra;Rural;2011;Feminino;294,4
Branca;Urbano;2012;Feminino;1.826,9
Branca;Rural;2012;Feminino;547,1
Negra;Urbano;2012;Feminino;1.110,0
Negra;Rural;2012;Feminino;327,8
Branca;Urbano;2013;Feminino;1.917,4
Branca;Rural;2013;Feminino;587,0
Negra;Urbano;2013;Feminino;1.158,9
Negra;Rural;2013;Feminino;350,4
Branca;Urbano;2014;Feminino;1.966,9
Branca;Rural;2014;Feminino;603,8
Negra;Urbano;2014;Feminino;1.173,7
Negra;Rural;2014;Feminino;357,8
Branca;Urbano;2015;Feminino;1.895,0
Branca;Rural;2015;Feminino;629,4
Negra;Urbano;2015;Feminino;1.153,5
Negra;Rural;2015;Feminino;358,5
